CRD,Firm Name,Entity Category,Category Basis,Domain,Website,City,State,AUM (USD),Firm Phone,Investment Thesis,Investing Sectors,Firm Facts Source (SEC Form ADV)
133370,"1919 INVESTMENT COUNSEL, LLC",ria_with_fo_practice,"Century-old investment-counsel RIA (Stifel subsidiary, ~$26B AUM, ~4,800 clients) listing 'Family Office Services' as one offering among many. FO is a service line.",1919ic.com,https://1919ic.com,BALTIMORE,MD,26036166216,410-454-2171,Investment counsel that prioritizes clients' interests and tailors strategies to individual needs.,Investment Counsel; Family Office Services; Women & Wealth; Responsible Investing; Foundations & Endowments,https://reports.adviserinfo.sec.gov/reports/ADV/133370/PDF/133370.pdf
307521,"ALPHA CAPITAL FAMILY OFFICE, LLC",ria_with_fo_practice,"Brands 'outsourced family office' but SEC shows a Greenwood Village RIA managing ~$296M for 147 individual clients on AUM fees - a client-serving advisory business running an FO service practice, not one family's capital.",acfamilyoffice.com,https://acfamilyoffice.com,GREENWOOD VILLAGE,CO,295926405,303-900-0185,"AC Family Office provides personalized, coordinated financial guidance to families, focusing on wealth stewardship and long-term planning.",,https://reports.adviserinfo.sec.gov/reports/ADV/307521/PDF/307521.pdf
286243,CRESTWOOD ADVISORS,ria_with_fo_practice,"Large Boston RIA (~1,100 clients, $8B AUM, Focus Partners) offering 'family office services' as one line; 236 non-HNW confirms broader than a true FO.",corporate.focuspartners.com,https://corporate.focuspartners.com,BOSTON,MA,8021455218,617-523-8880,"Focus delivers integrated wealth management, family office, and business management solutions at scale with a client-first fiduciary philosophy.",Wealth Management; Family Office; Business Management,https://reports.adviserinfo.sec.gov/reports/ADV/286243/PDF/286243.pdf
329496,INNOVATIVE FAMILY OFFICE LLC,ria_with_fo_practice,'A private wealth management advisory firm' with a distinct 'family office division'; majority-retail book (263 non-HNW vs 13 HNW). FO is a service line.,innovativefo.com,https://innovativefo.com,SOMERS,NY,65815282,(914) 427-8036,"We offer customized, comprehensive solutions for managing personal and family assets with an emphasis on confidentiality, accessibility, and centralized account management.","Wealth Management; Tax Strategy & Planning; Wealth Retention Strategy & Planning; Family Governance; Estate, Trusts & Philanthropy; Asset Protection & Risk Management",https://reports.adviserinfo.sec.gov/reports/ADV/329496/PDF/329496.pdf
142856,"PIONEER FAMILY OFFICE, LLC",ria_with_fo_practice,"US RIA arm of the 'Pioneer Wealth Management' group; core is 'Holistic Financial Planning, Wealth Management' serving individual/family AND institutional clients. FO one service line.",piowealth.com,https://piowealth.com,NORTH MIAMI BEACH,FL,956780912,305-935-5502,"Pioneer Family Office offers comprehensive financial and wealth planning services, focusing on individual client needs through an integrated approach.",Wealth Management; Investment Planning; Tax Planning; Inheritance and Estate Planning,https://reports.adviserinfo.sec.gov/reports/ADV/142856/PDF/142856.pdf
324899,SAPIENT CAPITAL LLC,ria_with_fo_practice,"'Independent advisory firm' with 'family office solutions' as one service line; large ~980-client $13B+ book spanning individuals, foundations, institutions. Broad RIA.",sapientcapital.com,https://sapientcapital.com,INDIANAPOLIS,IN,13756996022,(317) 719-0157,"Sapient Capital employs a holistic approach to wealth management, integrating investment strategies with comprehensive financial planning and family office services.",Wealth Management; Investment Management; Financial Planning; Family Office Services,https://reports.adviserinfo.sec.gov/reports/ADV/324899/PDF/324899.pdf
220519,"SUMMIT TRAIL ADVISORS, LLC",ria_with_fo_practice,"Large RIA (94 emp, ~639 clients, $20B+ AUM, Barron's Top 100 RIA) offering an 'outsourced family office' service line. FO is a service, not identity.",summittrail.com,https://summittrail.com,NEW YORK,NY,19941615810,212-812-7010,"Summit Trail Advisors serves as an outsourced family office, coordinating financial teams to create integrated solutions for ultra-high-net-worth individuals and families.",Wealth planning; Investment advisory; Capital markets and lending; Philanthropic advisory; Family governance; Family office services,https://reports.adviserinfo.sec.gov/reports/ADV/220519/PDF/220519.pdf
337753,ACTIV8 FAMILY OFFICE LLC,wealth_manager,"State-registered advisor to ~300 athlete/entertainer clients via third-party managers; 'family office' is positioning, not identity.",activ8familyoffice.com,https://activ8familyoffice.com,MCLEAN,VA,1542366700,978-870-0255,,,https://reports.adviserinfo.sec.gov/reports/ADV/337753/PDF/337753.pdf
168744,"ARROWROOT FAMILY OFFICE, LLC",wealth_manager,"Diversified RIA with 818 non-HNW retail clients alongside HNW. WRONG-DOMAIN: arrowrootadvisors.com is a separate M&A investment bank, so website-derived cells may describe the wrong entity - flag for re-enrichment.",arrowrootadvisors.com,https://arrowrootadvisors.com,MARINA DEL REY,CA,430684413,833-224-2249,"We concentrate on recurring revenue businesses with subscription or transaction based pricing models, providing M&A advice and financing solutions to growth software and web-enabled businesses.",Software; Web-enabled businesses; SaaS,https://reports.adviserinfo.sec.gov/reports/ADV/168744/PDF/168744.pdf
159306,"CHILTON INVESTMENT SERVICES, LLC",wealth_manager,"Trust company / boutique wealth manager serving 250+ families and 1,678 SEC clients; 'single-family office feel' is an explicit simile for service style, not an identity claim.",chiltontrustcompany.com,https://chiltontrustcompany.com,STAMFORD,CT,8150127000,203-352-4000,We are dedicated to protecting and growing our clients’ wealth through the creation of portfolios of high-quality investments across asset classes.,Equity; Fixed Income; Private Equity; Private Credit; Private Real Estate; Infrastructure; Hedge Funds,https://reports.adviserinfo.sec.gov/reports/ADV/159306/PDF/159306.pdf
